workerid,trial_type,target,response,primetype,error,order,type,id,inference_question,language,enjoyment,gender,age,problems,comments,asses,fairprice,education,OS,screenH,screenW,Browser,feedback,assignments,workerid,creationtime,Answer.time_in_minutes,deadline,viewhit,keywords,assignmentduration,title,assignmentapprovaltime,Answer.catch_trials,reject,assignmentstatus,hitlifetime,numpending,description,assignmentid,assignmentaccepttime,numavailable,numcomplete,assignmentsubmittime,annotation,reviewstatus,autoapprovaltime,hitstatus,autoapprovaldelay,hittypeid,assignmentrejecttime,Answer.list,reward,hitid
3,"""practice_trial""","""na""",1,"""na""",false,2,"""filler""","""high_right""",NA,"""English""","""1""","""Female""","""57""","""no""","""english inference?""","""Yes""",""".18""","""2""","""Linux""",768,1366,"""Chrome""","""""","""160""",3,"""Thu Aug 02 13:07:44 CDT 2018""","""1.49695""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=3VP28W7DUNJEDQFHN0VNWWHUFYFZFP""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""""","""[]""","""""","""Submitted""","""Sat Sep 01 13:07:44 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""3YT88D1N09XRV3YWT6WDWR08XC7K3M""","""Thu Aug 02 13:10:05 CDT 2018""","""0""","""0""","""Thu Aug 02 13:11:41 CDT 2018""","""1 cond""","""NotReviewed""","""Fri Aug 03 05:51:41 CDT 2018""","""Reviewable""","""60000""","""32K57UXCKKL823J33RWQPRDG8NOU8F""","""""","""\""list3\""""","""$0.15""","""3VP28W7DUNJEDQFHN0VNWWHUFYFZFP"""
3,"""one_slider""","""some""",0.89,"""notall""",NA,3,"""crit""","""girls""","""upperbounded""","""English""","""1""","""Female""","""57""","""no""","""english inference?""","""Yes""",""".18""","""2""","""Linux""",768,1366,"""Chrome""","""""","""160""",3,"""Thu Aug 02 13:07:44 CDT 2018""","""1.49695""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=3VP28W7DUNJEDQFHN0VNWWHUFYFZFP""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""""","""[]""","""""","""Submitted""","""Sat Sep 01 13:07:44 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""3YT88D1N09XRV3YWT6WDWR08XC7K3M""","""Thu Aug 02 13:10:05 CDT 2018""","""0""","""0""","""Thu Aug 02 13:11:41 CDT 2018""","""1 cond""","""NotReviewed""","""Fri Aug 03 05:51:41 CDT 2018""","""Reviewable""","""60000""","""32K57UXCKKL823J33RWQPRDG8NOU8F""","""""","""\""list3\""""","""$0.15""","""3VP28W7DUNJEDQFHN0VNWWHUFYFZFP"""
4,"""practice_trial""","""na""",0,"""na""",false,1,"""filler""","""low_right""",NA,"""English""","""1""","""Male""","""31""","""none""","""How we interpret statements.""","""No""","""yes""","""2""","""Windows""",990,1760,"""Firefox""","""""","""160""",4,"""Thu Aug 02 13:07:44 CDT 2018""","""1.6476333333333333""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=3VP28W7DUNJEDQFHN0VNWWHUFYFZFP""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""""","""[]""","""""","""Submitted""","""Sat Sep 01 13:07:44 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""3B1NLC6UG0VT06701D85B2BGVRIPG0""","""Thu Aug 02 13:10:27 CDT 2018""","""0""","""0""","""Thu Aug 02 13:12:15 CDT 2018""","""1 cond""","""NotReviewed""","""Fri Aug 03 05:52:15 CDT 2018""","""Reviewable""","""60000""","""32K57UXCKKL823J33RWQPRDG8NOU8F""","""""","""\""list4\""""","""$0.15""","""3VP28W7DUNJEDQFHN0VNWWHUFYFZFP"""
4,"""practice_trial""","""na""",1,"""na""",false,2,"""filler""","""high_right""",NA,"""English""","""1""","""Male""","""31""","""none""","""How we interpret statements.""","""No""","""yes""","""2""","""Windows""",990,1760,"""Firefox""","""""","""160""",4,"""Thu Aug 02 13:07:44 CDT 2018""","""1.6476333333333333""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=3VP28W7DUNJEDQFHN0VNWWHUFYFZFP""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""""","""[]""","""""","""Submitted""","""Sat Sep 01 13:07:44 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""3B1NLC6UG0VT06701D85B2BGVRIPG0""","""Thu Aug 02 13:10:27 CDT 2018""","""0""","""0""","""Thu Aug 02 13:12:15 CDT 2018""","""1 cond""","""NotReviewed""","""Fri Aug 03 05:52:15 CDT 2018""","""Reviewable""","""60000""","""32K57UXCKKL823J33RWQPRDG8NOU8F""","""""","""\""list4\""""","""$0.15""","""3VP28W7DUNJEDQFHN0VNWWHUFYFZFP"""
4,"""one_slider""","""some""",0,"""only""",NA,3,"""crit""","""girls""","""lowerbounded""","""English""","""1""","""Male""","""31""","""none""","""How we interpret statements.""","""No""","""yes""","""2""","""Windows""",990,1760,"""Firefox""","""""","""160""",4,"""Thu Aug 02 13:07:44 CDT 2018""","""1.6476333333333333""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=3VP28W7DUNJEDQFHN0VNWWHUFYFZFP""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""""","""[]""","""""","""Submitted""","""Sat Sep 01 13:07:44 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""3B1NLC6UG0VT06701D85B2BGVRIPG0""","""Thu Aug 02 13:10:27 CDT 2018""","""0""","""0""","""Thu Aug 02 13:12:15 CDT 2018""","""1 cond""","""NotReviewed""","""Fri Aug 03 05:52:15 CDT 2018""","""Reviewable""","""60000""","""32K57UXCKKL823J33RWQPRDG8NOU8F""","""""","""\""list4\""""","""$0.15""","""3VP28W7DUNJEDQFHN0VNWWHUFYFZFP"""
5,"""practice_trial""","""na""",0.35,"""na""",false,1,"""filler""","""low_right""",NA,"""English""","""1""","""Male""","""22""","""No.""","""Implications of a statement worded in two different ways.""","""No""",""".30""","""2""","""Windows""",1080,1920,"""Chrome""","""""","""160""",5,"""Thu Aug 02 13:07:44 CDT 2018""","""1.2987333333333333""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=3VP28W7DUNJEDQFHN0VNWWHUFYFZFP""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""""","""[]""","""""","""Submitted""","""Sat Sep 01 13:07:44 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""31QTRG6Q2UCTMXS0VJUBI2IK0N8PYY""","""Thu Aug 02 13:10:47 CDT 2018""","""0""","""0""","""Thu Aug 02 13:12:23 CDT 2018""","""1 cond""","""NotReviewed""","""Fri Aug 03 05:52:23 CDT 2018""","""Reviewable""","""60000""","""32K57UXCKKL823J33RWQPRDG8NOU8F""","""""","""\""list3\""""","""$0.15""","""3VP28W7DUNJEDQFHN0VNWWHUFYFZFP"""
5,"""practice_trial""","""na""",0.66,"""na""",false,2,"""filler""","""high_right""",NA,"""English""","""1""","""Male""","""22""","""No.""","""Implications of a statement worded in two different ways.""","""No""",""".30""","""2""","""Windows""",1080,1920,"""Chrome""","""""","""160""",5,"""Thu Aug 02 13:07:44 CDT 2018""","""1.2987333333333333""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=3VP28W7DUNJEDQFHN0VNWWHUFYFZFP""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""""","""[]""","""""","""Submitted""","""Sat Sep 01 13:07:44 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""31QTRG6Q2UCTMXS0VJUBI2IK0N8PYY""","""Thu Aug 02 13:10:47 CDT 2018""","""0""","""0""","""Thu Aug 02 13:12:23 CDT 2018""","""1 cond""","""NotReviewed""","""Fri Aug 03 05:52:23 CDT 2018""","""Reviewable""","""60000""","""32K57UXCKKL823J33RWQPRDG8NOU8F""","""""","""\""list3\""""","""$0.15""","""3VP28W7DUNJEDQFHN0VNWWHUFYFZFP"""
5,"""one_slider""","""some""",1,"""notall""",NA,3,"""crit""","""girls""","""upperbounded""","""English""","""1""","""Male""","""22""","""No.""","""Implications of a statement worded in two different ways.""","""No""",""".30""","""2""","""Windows""",1080,1920,"""Chrome""","""""","""160""",5,"""Thu Aug 02 13:07:44 CDT 2018""","""1.2987333333333333""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=3VP28W7DUNJEDQFHN0VNWWHUFYFZFP""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""""","""[]""","""""","""Submitted""","""Sat Sep 01 13:07:44 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""31QTRG6Q2UCTMXS0VJUBI2IK0N8PYY""","""Thu Aug 02 13:10:47 CDT 2018""","""0""","""0""","""Thu Aug 02 13:12:23 CDT 2018""","""1 cond""","""NotReviewed""","""Fri Aug 03 05:52:23 CDT 2018""","""Reviewable""","""60000""","""32K57UXCKKL823J33RWQPRDG8NOU8F""","""""","""\""list3\""""","""$0.15""","""3VP28W7DUNJEDQFHN0VNWWHUFYFZFP"""
6,"""practice_trial""","""na""",0.01,"""na""",false,1,"""filler""","""low_right""",NA,"""English""","""1""","""Female""","""31""","""Nope""","""How people understand language.""","""Yes""",""".30""","""3""","""Windows""",720,1280,"""Firefox""","""""","""160""",6,"""Thu Aug 02 13:07:44 CDT 2018""","""1.7686666666666666""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=3VP28W7DUNJEDQFHN0VNWWHUFYFZFP""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""""","""[]""","""""","""Submitted""","""Sat Sep 01 13:07:44 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""3BC8WZX3V4V519WTUG66F1P2YIHRRQ""","""Thu Aug 02 13:10:35 CDT 2018""","""0""","""0""","""Thu Aug 02 13:12:31 CDT 2018""","""1 cond""","""NotReviewed""","""Fri Aug 03 05:52:31 CDT 2018""","""Reviewable""","""60000""","""32K57UXCKKL823J33RWQPRDG8NOU8F""","""""","""\""list6\""""","""$0.15""","""3VP28W7DUNJEDQFHN0VNWWHUFYFZFP"""
6,"""practice_trial""","""na""",1,"""na""",false,2,"""filler""","""high_right""",NA,"""English""","""1""","""Female""","""31""","""Nope""","""How people understand language.""","""Yes""",""".30""","""3""","""Windows""",720,1280,"""Firefox""","""""","""160""",6,"""Thu Aug 02 13:07:44 CDT 2018""","""1.7686666666666666""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=3VP28W7DUNJEDQFHN0VNWWHUFYFZFP""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""""","""[]""","""""","""Submitted""","""Sat Sep 01 13:07:44 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""3BC8WZX3V4V519WTUG66F1P2YIHRRQ""","""Thu Aug 02 13:10:35 CDT 2018""","""0""","""0""","""Thu Aug 02 13:12:31 CDT 2018""","""1 cond""","""NotReviewed""","""Fri Aug 03 05:52:31 CDT 2018""","""Reviewable""","""60000""","""32K57UXCKKL823J33RWQPRDG8NOU8F""","""""","""\""list6\""""","""$0.15""","""3VP28W7DUNJEDQFHN0VNWWHUFYFZFP"""
6,"""one_slider""","""some""",0,"""notall""",NA,3,"""crit""","""girls""","""lowerbounded""","""English""","""1""","""Female""","""31""","""Nope""","""How people understand language.""","""Yes""",""".30""","""3""","""Windows""",720,1280,"""Firefox""","""""","""160""",6,"""Thu Aug 02 13:07:44 CDT 2018""","""1.7686666666666666""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=3VP28W7DUNJEDQFHN0VNWWHUFYFZFP""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""""","""[]""","""""","""Submitted""","""Sat Sep 01 13:07:44 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""3BC8WZX3V4V519WTUG66F1P2YIHRRQ""","""Thu Aug 02 13:10:35 CDT 2018""","""0""","""0""","""Thu Aug 02 13:12:31 CDT 2018""","""1 cond""","""NotReviewed""","""Fri Aug 03 05:52:31 CDT 2018""","""Reviewable""","""60000""","""32K57UXCKKL823J33RWQPRDG8NOU8F""","""""","""\""list6\""""","""$0.15""","""3VP28W7DUNJEDQFHN0VNWWHUFYFZFP"""
7,"""practice_trial""","""na""",0.2,"""na""",true,1,"""filler""","""low_right""",NA,"""English""","""1""","""Male""","""34""","""None.""","""No clue.""","""Yes""","""Yes.""","""2""","""Windows""",720,1280,"""Chrome""","""""","""160""",7,"""Thu Aug 02 13:07:44 CDT 2018""","""1.8794166666666667""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=3VP28W7DUNJEDQFHN0VNWWHUFYFZFP""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""""","""[]""","""""","""Submitted""","""Sat Sep 01 13:07:44 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""39JEC7537V0TOEORL3LLR3FJJNRCVY""","""Thu Aug 02 13:10:31 CDT 2018""","""0""","""0""","""Thu Aug 02 13:12:31 CDT 2018""","""1 cond""","""NotReviewed""","""Fri Aug 03 05:52:31 CDT 2018""","""Reviewable""","""60000""","""32K57UXCKKL823J33RWQPRDG8NOU8F""","""""","""\""list6\""""","""$0.15""","""3VP28W7DUNJEDQFHN0VNWWHUFYFZFP"""
7,"""practice_trial""","""na""",0.9,"""na""",false,2,"""filler""","""high_right""",NA,"""English""","""1""","""Male""","""34""","""None.""","""No clue.""","""Yes""","""Yes.""","""2""","""Windows""",720,1280,"""Chrome""","""""","""160""",7,"""Thu Aug 02 13:07:44 CDT 2018""","""1.8794166666666667""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=3VP28W7DUNJEDQFHN0VNWWHUFYFZFP""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""""","""[]""","""""","""Submitted""","""Sat Sep 01 13:07:44 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""39JEC7537V0TOEORL3LLR3FJJNRCVY""","""Thu Aug 02 13:10:31 CDT 2018""","""0""","""0""","""Thu Aug 02 13:12:31 CDT 2018""","""1 cond""","""NotReviewed""","""Fri Aug 03 05:52:31 CDT 2018""","""Reviewable""","""60000""","""32K57UXCKKL823J33RWQPRDG8NOU8F""","""""","""\""list6\""""","""$0.15""","""3VP28W7DUNJEDQFHN0VNWWHUFYFZFP"""
7,"""one_slider""","""some""",0.08,"""notall""",NA,3,"""crit""","""girls""","""lowerbounded""","""English""","""1""","""Male""","""34""","""None.""","""No clue.""","""Yes""","""Yes.""","""2""","""Windows""",720,1280,"""Chrome""","""""","""160""",7,"""Thu Aug 02 13:07:44 CDT 2018""","""1.8794166666666667""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=3VP28W7DUNJEDQFHN0VNWWHUFYFZFP""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""""","""[]""","""""","""Submitted""","""Sat Sep 01 13:07:44 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""39JEC7537V0TOEORL3LLR3FJJNRCVY""","""Thu Aug 02 13:10:31 CDT 2018""","""0""","""0""","""Thu Aug 02 13:12:31 CDT 2018""","""1 cond""","""NotReviewed""","""Fri Aug 03 05:52:31 CDT 2018""","""Reviewable""","""60000""","""32K57UXCKKL823J33RWQPRDG8NOU8F""","""""","""\""list6\""""","""$0.15""","""3VP28W7DUNJEDQFHN0VNWWHUFYFZFP"""
