"","workerid","trial_type","type","response","id","language","enjoyment","gender","age","problems","comments","asses","fairprice","education","OS","screenH","screenW","Browser","hitid","hittypeid","title","description","keywords","reward","creationtime","assignments","numavailable","numpending","numcomplete","hitstatus","reviewstatus","annotation","assignmentduration","autoapprovaldelay","hitlifetime","viewhit","assignmentid","workerid.1","assignmentstatus","autoapprovaltime","assignmentaccepttime","assignmentsubmittime","assignmentapprovaltime","assignmentrejecttime","deadline","feedback","reject","Answer.catch_trials","Answer.condition","Answer.time_in_minutes"
"11",1,"""one_slider""","""prime""",0.52,4,"""english""","""1""","""Male""","""38""","""""","""""","""Yes""","""0.5""","""3""","""Windows""",720,1280,"""Chrome""","""3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.20""","""Fri May 18 05:32:32 PDT 2018""","""88""","""0""","""0""","""88""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Jun 17 05:32:32 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""37XITHEISX81V77ACJGBQ6PFDXHRCV""",1,"""Approved""","""Fri May 18 22:13:55 PDT 2018""","""Fri May 18 05:33:04 PDT 2018""","""Fri May 18 05:33:55 PDT 2018""","""Fri May 18 22:14:55 PDT 2018""","""""","""""","""""","""""","""[]""","""\""or_eitherorprime\""""","""0.6746333333333333"""
"12",1,"""one_slider""","""filler""",0.53,1,"""english""","""1""","""Male""","""38""","""""","""""","""Yes""","""0.5""","""3""","""Windows""",720,1280,"""Chrome""","""3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.20""","""Fri May 18 05:32:32 PDT 2018""","""88""","""0""","""0""","""88""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Jun 17 05:32:32 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""37XITHEISX81V77ACJGBQ6PFDXHRCV""",1,"""Approved""","""Fri May 18 22:13:55 PDT 2018""","""Fri May 18 05:33:04 PDT 2018""","""Fri May 18 05:33:55 PDT 2018""","""Fri May 18 22:14:55 PDT 2018""","""""","""""","""""","""""","""[]""","""\""or_eitherorprime\""""","""0.6746333333333333"""
"13",1,"""one_slider""","""filler""",0.56,2,"""english""","""1""","""Male""","""38""","""""","""""","""Yes""","""0.5""","""3""","""Windows""",720,1280,"""Chrome""","""3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.20""","""Fri May 18 05:32:32 PDT 2018""","""88""","""0""","""0""","""88""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Jun 17 05:32:32 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""37XITHEISX81V77ACJGBQ6PFDXHRCV""",1,"""Approved""","""Fri May 18 22:13:55 PDT 2018""","""Fri May 18 05:33:04 PDT 2018""","""Fri May 18 05:33:55 PDT 2018""","""Fri May 18 22:14:55 PDT 2018""","""""","""""","""""","""""","""[]""","""\""or_eitherorprime\""""","""0.6746333333333333"""
"14",1,"""one_slider""","""crit""",0.65,1,"""english""","""1""","""Male""","""38""","""""","""""","""Yes""","""0.5""","""3""","""Windows""",720,1280,"""Chrome""","""3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.20""","""Fri May 18 05:32:32 PDT 2018""","""88""","""0""","""0""","""88""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Jun 17 05:32:32 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""37XITHEISX81V77ACJGBQ6PFDXHRCV""",1,"""Approved""","""Fri May 18 22:13:55 PDT 2018""","""Fri May 18 05:33:04 PDT 2018""","""Fri May 18 05:33:55 PDT 2018""","""Fri May 18 22:14:55 PDT 2018""","""""","""""","""""","""""","""[]""","""\""or_eitherorprime\""""","""0.6746333333333333"""
"15",2,"""one_slider""","""prime""",0.03,4,"""English""","""1""","""Female""","""34""","""none""","""Understanding of the English Language""","""Yes""",""".10""","""3""","""Windows""",768,1366,"""Chrome""","""3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.20""","""Fri May 18 05:32:32 PDT 2018""","""88""","""0""","""0""","""88""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Jun 17 05:32:32 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""39KFRKBFIOUB1XGZGJHWT2CT5YFOYR""",2,"""Approved""","""Fri May 18 22:15:17 PDT 2018""","""Fri May 18 05:33:22 PDT 2018""","""Fri May 18 05:35:17 PDT 2018""","""Fri May 18 22:15:55 PDT 2018""","""""","""""","""""","""""","""[]""","""\""or_andprime\""""","""1.8065333333333333"""
"16",2,"""one_slider""","""prime""",0.03,3,"""English""","""1""","""Female""","""34""","""none""","""Understanding of the English Language""","""Yes""",""".10""","""3""","""Windows""",768,1366,"""Chrome""","""3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.20""","""Fri May 18 05:32:32 PDT 2018""","""88""","""0""","""0""","""88""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Jun 17 05:32:32 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""39KFRKBFIOUB1XGZGJHWT2CT5YFOYR""",2,"""Approved""","""Fri May 18 22:15:17 PDT 2018""","""Fri May 18 05:33:22 PDT 2018""","""Fri May 18 05:35:17 PDT 2018""","""Fri May 18 22:15:55 PDT 2018""","""""","""""","""""","""""","""[]""","""\""or_andprime\""""","""1.8065333333333333"""
"17",2,"""one_slider""","""filler""",0.3,1,"""English""","""1""","""Female""","""34""","""none""","""Understanding of the English Language""","""Yes""",""".10""","""3""","""Windows""",768,1366,"""Chrome""","""3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.20""","""Fri May 18 05:32:32 PDT 2018""","""88""","""0""","""0""","""88""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Jun 17 05:32:32 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""39KFRKBFIOUB1XGZGJHWT2CT5YFOYR""",2,"""Approved""","""Fri May 18 22:15:17 PDT 2018""","""Fri May 18 05:33:22 PDT 2018""","""Fri May 18 05:35:17 PDT 2018""","""Fri May 18 22:15:55 PDT 2018""","""""","""""","""""","""""","""[]""","""\""or_andprime\""""","""1.8065333333333333"""
"18",2,"""one_slider""","""filler""",0.9,2,"""English""","""1""","""Female""","""34""","""none""","""Understanding of the English Language""","""Yes""",""".10""","""3""","""Windows""",768,1366,"""Chrome""","""3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.20""","""Fri May 18 05:32:32 PDT 2018""","""88""","""0""","""0""","""88""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Jun 17 05:32:32 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""39KFRKBFIOUB1XGZGJHWT2CT5YFOYR""",2,"""Approved""","""Fri May 18 22:15:17 PDT 2018""","""Fri May 18 05:33:22 PDT 2018""","""Fri May 18 05:35:17 PDT 2018""","""Fri May 18 22:15:55 PDT 2018""","""""","""""","""""","""""","""[]""","""\""or_andprime\""""","""1.8065333333333333"""
"19",2,"""one_slider""","""prime""",0.05,1,"""English""","""1""","""Female""","""34""","""none""","""Understanding of the English Language""","""Yes""",""".10""","""3""","""Windows""",768,1366,"""Chrome""","""3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.20""","""Fri May 18 05:32:32 PDT 2018""","""88""","""0""","""0""","""88""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Jun 17 05:32:32 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""39KFRKBFIOUB1XGZGJHWT2CT5YFOYR""",2,"""Approved""","""Fri May 18 22:15:17 PDT 2018""","""Fri May 18 05:33:22 PDT 2018""","""Fri May 18 05:35:17 PDT 2018""","""Fri May 18 22:15:55 PDT 2018""","""""","""""","""""","""""","""[]""","""\""or_andprime\""""","""1.8065333333333333"""
"20",2,"""one_slider""","""prime""",0.03,2,"""English""","""1""","""Female""","""34""","""none""","""Understanding of the English Language""","""Yes""",""".10""","""3""","""Windows""",768,1366,"""Chrome""","""3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.20""","""Fri May 18 05:32:32 PDT 2018""","""88""","""0""","""0""","""88""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Jun 17 05:32:32 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""39KFRKBFIOUB1XGZGJHWT2CT5YFOYR""",2,"""Approved""","""Fri May 18 22:15:17 PDT 2018""","""Fri May 18 05:33:22 PDT 2018""","""Fri May 18 05:35:17 PDT 2018""","""Fri May 18 22:15:55 PDT 2018""","""""","""""","""""","""""","""[]""","""\""or_andprime\""""","""1.8065333333333333"""
"21",2,"""one_slider""","""crit""",0.81,1,"""English""","""1""","""Female""","""34""","""none""","""Understanding of the English Language""","""Yes""",""".10""","""3""","""Windows""",768,1366,"""Chrome""","""3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.20""","""Fri May 18 05:32:32 PDT 2018""","""88""","""0""","""0""","""88""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Jun 17 05:32:32 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""39KFRKBFIOUB1XGZGJHWT2CT5YFOYR""",2,"""Approved""","""Fri May 18 22:15:17 PDT 2018""","""Fri May 18 05:33:22 PDT 2018""","""Fri May 18 05:35:17 PDT 2018""","""Fri May 18 22:15:55 PDT 2018""","""""","""""","""""","""""","""[]""","""\""or_andprime\""""","""1.8065333333333333"""
"22",3,"""one_slider""","""filler""",0.89,2,"""English""","""1""","""Male""","""29""","""No""","""Linguistics""","""Yes""",""".20""","""4""","""Mac""",800,1280,"""Chrome""","""3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.20""","""Fri May 18 05:32:32 PDT 2018""","""88""","""0""","""0""","""88""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Jun 17 05:32:32 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""32UTUBMZ7HVAE9WL73PQGJ80GIUBV1""",3,"""Approved""","""Fri May 18 22:15:35 PDT 2018""","""Fri May 18 05:32:51 PDT 2018""","""Fri May 18 05:35:35 PDT 2018""","""Fri May 18 22:15:55 PDT 2018""","""""","""""","""""","""""","""[]""","""\""or_andprime\""""","""2.622516666666667"""
"23",3,"""one_slider""","""prime""",0,3,"""English""","""1""","""Male""","""29""","""No""","""Linguistics""","""Yes""",""".20""","""4""","""Mac""",800,1280,"""Chrome""","""3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.20""","""Fri May 18 05:32:32 PDT 2018""","""88""","""0""","""0""","""88""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Jun 17 05:32:32 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""32UTUBMZ7HVAE9WL73PQGJ80GIUBV1""",3,"""Approved""","""Fri May 18 22:15:35 PDT 2018""","""Fri May 18 05:32:51 PDT 2018""","""Fri May 18 05:35:35 PDT 2018""","""Fri May 18 22:15:55 PDT 2018""","""""","""""","""""","""""","""[]""","""\""or_andprime\""""","""2.622516666666667"""
"24",3,"""one_slider""","""prime""",0,2,"""English""","""1""","""Male""","""29""","""No""","""Linguistics""","""Yes""",""".20""","""4""","""Mac""",800,1280,"""Chrome""","""3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.20""","""Fri May 18 05:32:32 PDT 2018""","""88""","""0""","""0""","""88""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Jun 17 05:32:32 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""32UTUBMZ7HVAE9WL73PQGJ80GIUBV1""",3,"""Approved""","""Fri May 18 22:15:35 PDT 2018""","""Fri May 18 05:32:51 PDT 2018""","""Fri May 18 05:35:35 PDT 2018""","""Fri May 18 22:15:55 PDT 2018""","""""","""""","""""","""""","""[]""","""\""or_andprime\""""","""2.622516666666667"""
"25",3,"""one_slider""","""filler""",0.26,1,"""English""","""1""","""Male""","""29""","""No""","""Linguistics""","""Yes""",""".20""","""4""","""Mac""",800,1280,"""Chrome""","""3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.20""","""Fri May 18 05:32:32 PDT 2018""","""88""","""0""","""0""","""88""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Jun 17 05:32:32 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""32UTUBMZ7HVAE9WL73PQGJ80GIUBV1""",3,"""Approved""","""Fri May 18 22:15:35 PDT 2018""","""Fri May 18 05:32:51 PDT 2018""","""Fri May 18 05:35:35 PDT 2018""","""Fri May 18 22:15:55 PDT 2018""","""""","""""","""""","""""","""[]""","""\""or_andprime\""""","""2.622516666666667"""
